status	SUGGESTED_LANG	file_line	foreign_text	note_context
ambiguous	san-Latn?	3834	puṇḍarīkākṣa	The term puṇḍarīkākṣa is LC's silent emendation and we do not need the two of puṇḍarīkākṣa in this list.
ambiguous	san-Latn?	3834	puṇḍarīkākṣa	The term puṇḍarīkākṣa is LC's silent emendation and we do not need the two of puṇḍarīkākṣa in this list.
ambiguous	san-Latn?	3841	dhanañjaya	Should it be read as dhanañjaya?
ambiguous	san-Latn?	3843	vr̥ṣākapi	Should we eliminate vr̥ṣākapi to avoid redundancy?
ambiguous	san-Latn?	3914	sutrāmā gotrabhidvajrī vāsavo vr̥trahā vr̥ṣā	Cf. AK 1.1.42cd: sutrāmā gotrabhidvajrī vāsavo vr̥trahā vr̥ṣā.
ambiguous	san-Latn?	3962	taraṣa	The word taraṣa in  should ideally be absent, as is evident in its corresponding verses. It is plausible that the scribe
ambiguous	san-Latn?	3962	hari	The word taraṣa in  should ideally be absent, as is evident in its corresponding verses. It is plausible that the scribe
ambiguous	kaw-Latn?	4031	vaśta	In his critical apparatus, LC misreads vaśtu bhaskaraḥ in  as vaśta bhaskaraḥ and he makes a conjecture by eleminating v
ambiguous	kaw-Latn?	4145	kr̥ṣṇavatta	In his critical apparatus, LC misreads kr̥ṣṇavatta in  as kr̥ṣṇavartmā.
ambiguous	kaw-Latn?	4145	kr̥ṣṇavartmā	In his critical apparatus, LC misreads kr̥ṣṇavatta in  as kr̥ṣṇavartmā.
ambiguous	kaw-Latn?	4147	avibhut	LC does not include the reading avibhut from  in his critical apparatus.
ambiguous	kaw-Latn?	4150	kupiṭayoni	In his critical apparatus, LC misreads kupiṭayoni in  as kupidayoni.
ambiguous	kaw-Latn?	4150	kupidayoni	In his critical apparatus, LC misreads kupiṭayoni in  as kupidayoni.
ambiguous	san-Latn?	4371	revatīramaṇa	These synonyms amount to 18, as revatīramaṇa is recorded as two distinct terms – revatī and rāmana (or bhamaṇa in  and )
ambiguous	san-Latn?	4371	revatī	These synonyms amount to 18, as revatīramaṇa is recorded as two distinct terms – revatī and rāmana (or bhamaṇa in  and )
ambiguous	san-Latn?	4371	rāmana	These synonyms amount to 18, as revatīramaṇa is recorded as two distinct terms – revatī and rāmana (or bhamaṇa in  and )
ambiguous	san-Latn?	4371	bhamaṇa	These synonyms amount to 18, as revatīramaṇa is recorded as two distinct terms – revatī and rāmana (or bhamaṇa in  and )
ambiguous	san-Latn?	4431	aiḍaviḍa	Should it be aiḍaviḍa?
ambiguous	san-Latn?	4484	viśvaketu,	The actual conjectural reading provided by LC is viśvaketu,.
ambiguous	san-Latn?	4533	ekakālena	Should it be ekakālena?
ambiguous	kaw-Latn?	4544	tarāpati	LC misreads tarāpati in  as tararpati.
ambiguous	kaw-Latn?	4544	tararpati	LC misreads tarāpati in  as tararpati.
ambiguous	san-Latn?	4572	ekayoktyā puṣpavantau divākaraniśākarau ||	AK 1.4.10cd: ekayoktyā puṣpavantau divākaraniśākarau ||
ambiguous	san-Latn?	4622	trava	LC overlooks trava in , making kravyād as his conjectural reading.
ambiguous	san-Latn?	4622	kravyād	LC overlooks trava in , making kravyād as his conjectural reading.
ambiguous	kaw-Latn?	4729	dharmasū	LC misreads dharmasū in  as dharmadhū.
ambiguous	kaw-Latn?	4729	dharmadhū	LC misreads dharmasū in  as dharmadhū.
ambiguous	kaw-Latn?	4827	nekaja	LC misreads nekaja in  as neḥkajaḥ.
ambiguous	kaw-Latn?	5225	vaṅu	LC misreads vaṅu in  as vaḍu.
ambiguous	kaw-Latn?	5225	vaḍu	LC misreads vaṅu in  as vaḍu.
ambiguous	san-Latn?	5265	prativājaka	LC does not report the supply of word prativājaka in his edition.
ambiguous	kaw-Latn?	5451	kulaṭi, kehniṅ	LC misreads kulaṭi, kehniṅ in  as kuladikehniṅ.
ambiguous	kaw-Latn?	5451	kuladikehniṅ	LC misreads kulaṭi, kehniṅ in  as kuladikehniṅ.
ambiguous	san-Latn?	5457	prava	Should it be read prava?
ambiguous	san-Latn?	5457	phalakhelā	Should it be read phalakhelā?
ambiguous	san-Latn?	5469	vilpusa	In Modern Javanese, there is the word vilpusa which is a synonym for kuvuk. It might be an error for Skt. śitpuṭa.
ambiguous	san-Latn?	5469	kuvuk	In Modern Javanese, there is the word vilpusa which is a synonym for kuvuk. It might be an error for Skt. śitpuṭa.
ambiguous	san-Latn?	5469	śitpuṭa	In Modern Javanese, there is the word vilpusa which is a synonym for kuvuk. It might be an error for Skt. śitpuṭa.
ambiguous	kaw-Latn?	5504	stambairama	LC misreads stambairama in  as stambai.
ambiguous	kaw-Latn?	5504	stambai	LC misreads stambairama in  as stambai.
ambiguous	kaw-Latn?	5504	in	The Skt. suffix -in, though markedly improbable in preservation within OJ, is nonetheless presented by  in a manner fait
ambiguous	kaw-Latn?	5504	caraṇe	LC misreads caraṇe in  as carano.
ambiguous	kaw-Latn?	5504	carano	LC misreads caraṇe in  as carano.
ambiguous	san-Latn?	5521	puṇḍarīka	Should it be read puṇḍarīka?
ambiguous	san-Latn?	5521	matta	Should be read matta?
ambiguous	kaw-Latn?	5577	kuryah	This passage is similar with those from NMā 90cd &amp; VaiJ 3.4.52ab (see the paralel below). Regarding the eye-skip in 
ambiguous	san-Latn?	5607	vāśrā	An alternative emendation would be vāśrā. However, vaśyā and bandhyā might be plausible other options (see ŚRĀv p.146). 
ambiguous	san-Latn?	5607	vaśyā	An alternative emendation would be vāśrā. However, vaśyā and bandhyā might be plausible other options (see ŚRĀv p.146). 
ambiguous	san-Latn?	5607	bandhyā	An alternative emendation would be vāśrā. However, vaśyā and bandhyā might be plausible other options (see ŚRĀv p.146). 
ambiguous	san-Latn?	5607	vandyā	An alternative emendation would be vāśrā. However, vaśyā and bandhyā might be plausible other options (see ŚRĀv p.146). 
ambiguous	san-Latn?	5607	kalyāṇī	Another imaginable emendation would be kalyāṇī.
ambiguous	san-Latn?	5610	māheyī saurabheyī gaur usrā mātā ca śr̥ṅgiṇī || arjuny aghnyā rohiṇī syād uttamā goṣu naicikī |	AK 2.9.66cd–67ab:māheyī saurabheyī gaur usrā mātā ca śr̥ṅgiṇī || arjuny aghnyā rohiṇī syād uttamā goṣu naicikī |
ambiguous	san-Latn?	5611	aghnyā gaur māheyī surabhir bahulā ca saurabheyī ca | usrārjunī ca rohiṇy uktānaḍuhī budhair anaḍvāhī ||	AbhRM 268: aghnyā gaur māheyī surabhir bahulā ca saurabheyī ca | usrārjunī ca rohiṇy uktānaḍuhī budhair anaḍvāhī ||
ambiguous	san-Latn?	5613	arjuny aghnyā rohiṇī saurabheyī māheyyusrā śr̥ṅgiṇī gauś ca mātā |	ŚRĀk 749cd: arjuny aghnyā rohiṇī saurabheyī māheyyusrā śr̥ṅgiṇī gauś ca mātā |
ambiguous	san-Latn?	5614	vaśyā bandhyā saiva gavī vehad garbho padhātinī ||	ŚRĀv p.146: vaśyā bandhyā saiva gavī vehad garbho padhātinī ||
ambiguous	san-Latn?	5711	śilīmukhaś ca	This emendatiion is bold, but for now we see no other solution to the metrical problem of the transmitted reading śilīmu
ambiguous	san-Latn?	5796	toyanidhi	Should it be toyanidhi as it is attested in AbhRM 652?
ambiguous	kaw-Latn?	5840	niṣadha	In  &amp; , niṣadha is mentioned later, exactly after mālyāvan. The reading from  and  is selected on the basis that Niṣ
ambiguous	kaw-Latn?	5840	mālyāvan	In  &amp; , niṣadha is mentioned later, exactly after mālyāvan. The reading from  and  is selected on the basis that Niṣ
ambiguous	san-Latn?	5885	karaphala	Despite the attestations of karaphala in  and kāraphala in , the conjectural reading proposed in  is maintained here, si
ambiguous	san-Latn?	5885	kāraphala	Despite the attestations of karaphala in  and kāraphala in , the conjectural reading proposed in  is maintained here, si
ambiguous	san-Latn?	5926	śr̥ṅgaja	Should it be read as śr̥ṅgaja?
ambiguous	san-Latn?	5986	locaka	Should it be read as locaka?
ambiguous	san-Latn?	6003	mudgara	As mentioned in LC's note, should it be read as mudgara?
ambiguous	kaw-Latn?	6015	vighnahara	LC's vighnahara might be his silent emendation, or he simply misreads vighnakara in  as vighnahara.
ambiguous	kaw-Latn?	6015	vighnakara	LC's vighnahara might be his silent emendation, or he simply misreads vighnakara in  as vighnahara.
ambiguous	kaw-Latn?	6015	vighnahara	LC's vighnahara might be his silent emendation, or he simply misreads vighnakara in  as vighnahara.
ambiguous	kaw-Latn?	6015	vināyaka	The reading vināyaka in the  is a reconstruction established based on the incompleted reading vi in . It seems that LC d
ambiguous	kaw-Latn?	6015	vi	The reading vināyaka in the  is a reconstruction established based on the incompleted reading vi in . It seems that LC d
ambiguous	kaw-Latn?	6015	vighnāntaka	The reading vināyaka in the  is a reconstruction established based on the incompleted reading vi in . It seems that LC d
ambiguous	kaw-Latn?	6110	agyajanma	LC misreads agyajanma in  as agrajanmā.
ambiguous	kaw-Latn?	6110	agrajanmā	LC misreads agyajanma in  as agrajanmā.
ambiguous	kaw-Latn?	6110	deta	LC misreads deta in  as devata.
ambiguous	kaw-Latn?	6110	devata	LC misreads deta in  as devata.
ambiguous	san-Latn?	6157	urvī	Rather than repeating urvī, which has already appeared earlier in the list, it may be more appropriate to supply uru at 
ambiguous	san-Latn?	6157	uru	Rather than repeating urvī, which has already appeared earlier in the list, it may be more appropriate to supply uru at 
ambiguous	san-Latn?	6157	śailadhārā	For śailadhārā, see parvatādhārā in AbhRM 935–938ab
ambiguous	san-Latn?	6157	parvatādhārā	For śailadhārā, see parvatādhārā in AbhRM 935–938ab
ambiguous	san-Latn?	6199	śikhaṇḍī	It appears that the scribe(s) faced confusion in distinguishing the spellings of śikhaṇḍī, śikhaṇḍa, and śikhaṇḍinī, lea
ambiguous	san-Latn?	6199	śikhaṇḍa	It appears that the scribe(s) faced confusion in distinguishing the spellings of śikhaṇḍī, śikhaṇḍa, and śikhaṇḍinī, lea
ambiguous	san-Latn?	6199	śikhaṇḍinī	It appears that the scribe(s) faced confusion in distinguishing the spellings of śikhaṇḍī, śikhaṇḍa, and śikhaṇḍinī, lea
ambiguous	kaw-Latn?	6220	dumra	LC misreads dumra in  as druma which prompted him to emend it to droṇa.
ambiguous	kaw-Latn?	6220	druma	LC misreads dumra in  as druma which prompted him to emend it to droṇa.
ambiguous	kaw-Latn?	6220	droṇa	LC misreads dumra in  as druma which prompted him to emend it to droṇa.
ambiguous	kaw-Latn?	6220	kag	I suspect that  and  show disparate readings due to the presence of two distinct words in the original, eye-skip leading
ambiguous	kaw-Latn?	6220	taruṅ	I suspect that  and  show disparate readings due to the presence of two distinct words in the original, eye-skip leading
ambiguous	kaw-Latn?	6220	paṅkon	I suspect that  and  show disparate readings due to the presence of two distinct words in the original, eye-skip leading
ambiguous	san-Latn?	6222	kaṅkeru	Should it be read as kaṅkeru?
ambiguous	san-Latn?	6258	kulyā	Should it be kulyā?
ambiguous	san-Latn?	6304	kopakrodhāmarṣaroṣapratighā ruṭkrudhau striyau |	AK 1.7.26ab: kopakrodhāmarṣaroṣapratighā ruṭkrudhau striyau |
ambiguous	san-Latn?	6306	manyur dainye kratau kope nāḍīsvargakṣitiṣv iḍā ||	AbhRM 846: manyur dainye kratau kope nāḍīsvargakṣitiṣv iḍā ||
ambiguous	san-Latn?	6347	gaṇikā lañjikā veśyā rūpājīvā vilāsinī | paṇyastrī dārikā dāsī kāmukī sarvavallabhā ||	NM 36: gaṇikā lañjikā veśyā rūpājīvā vilāsinī | paṇyastrī dārikā dāsī kāmukī sarvavallabhā ||
ambiguous	san-Latn?	6410	ayun	Or, should it be read as OJ ayun?
ambiguous	san-Latn?	6410	vivāda	Could it be vivāda?
ambiguous	san-Latn?	6444	sutra	Should it be read as sutra?
ambiguous	san-Latn?	6508	jñānadīrgha	Should it be read as jñānadīrgha?
ambiguous	san-Latn?	6513	dr̥gdr̥ṣṭinetralocanacakṣurnayanāmbakekṣaṇākṣīṇi |	AbhRM 519: dr̥gdr̥ṣṭinetralocanacakṣurnayanāmbakekṣaṇākṣīṇi |
ambiguous	san-Latn?	6531	pratigrāhe mukurātmadarśādarśās tu darpaṇe |	AbhCM 684ab: pratigrāhe mukurātmadarśādarśās tu darpaṇe |
ambiguous	san-Latn?	6577	ūrdhvaka	Should it be read ūrdhvaka?
ambiguous	san-Latn?	6606	prekṣā prajñā pratibhā dhīrdhiṣaṇā śemuṣī manīṣā ca |	AbhRM 334ab: prekṣā prajñā pratibhā dhīrdhiṣaṇā śemuṣī manīṣā ca |
ambiguous	san-Latn?	6607	saralo dakṣiṇo jñeyo vidagdhaś cheka ucyate |	AbhRM 385ab: saralo dakṣiṇo jñeyo vidagdhaś cheka ucyate |
ambiguous	san-Latn?	6622	vyāja	Should it be vyāja?
ambiguous	san-Latn?	6641	śūro vīraś ca vikrānto bhaṭaś cārabhaṭo bhavet |	AbhRM 354ab: śūro vīraś ca vikrānto bhaṭaś cārabhaṭo bhavet |
ambiguous	san-Latn?	6657	kvaṇana	Should it be read as kvaṇana?
ambiguous	san-Latn?	6677	kātarya	Should it be read as kātarya?
ambiguous	san-Latn?	6705	kiñcid īṣan manāg alpe pretyāmutra bhavāntare ||	AK 3.4.8cd: kiñcid īṣan manāg alpe pretyāmutra bhavāntare ||
ambiguous	san-Latn?	6709	kitiha syāt sampradāye pretyāmutra bhavāntare |	AbhRM 877ab: kitiha syāt sampradāye pretyāmutra bhavāntare |
ambiguous	san-Latn?	6736	jīve 'sujīvitaprāṇā jīvātur jīvanauṣadham ||	AbhCM 1367cd: jīve 'sujīvitaprāṇā jīvātur jīvanauṣadham ||
ambiguous	kaw-Latn?	6772	susādhana	LC misreads susādhana in  as susaṅdhana.
ambiguous	kaw-Latn?	6772	susaṅdhana	LC misreads susādhana in  as susaṅdhana.
ambiguous	kaw-Latn?	6772	śola, vr̥ka	LC misreads śola, vr̥ka in  as śolavr̥ka.
ambiguous	kaw-Latn?	6772	śolavr̥ka	LC misreads śola, vr̥ka in  as śolavr̥ka.
ambiguous	san-Latn?	6828	sindhu	Mss.  and  insert a substantial interpolation between the words sindhu and tvak, encompassing several terms associated w
ambiguous	san-Latn?	6828	tvak	Mss.  and  insert a substantial interpolation between the words sindhu and tvak, encompassing several terms associated w
ambiguous	san-Latn?	6828	dravina	Mss.  and  insert a substantial interpolation between the words sindhu and tvak, encompassing several terms associated w
ambiguous	kaw-Latn?	6866	pratipadaśidi	LC misreads pratipadaśidi in  as pratipadaśini.
ambiguous	kaw-Latn?	6866	pratipadaśini	LC misreads pratipadaśidi in  as pratipadaśini.
ambiguous	kaw-Latn?	6896	kṣaṇaprabhā	LC misreads kṣaṇaprabhā in  as kṣaṇapraha.
ambiguous	kaw-Latn?	6896	kṣaṇapraha	LC misreads kṣaṇaprabhā in  as kṣaṇapraha.
ambiguous	kaw-Latn?	6905	tiṭit	LC misreads tiṭit in  as taṭit.
ambiguous	kaw-Latn?	6905	taṭit	LC misreads tiṭit in  as taṭit.
ambiguous	san-Latn?	6945	Amaramālā	It appears that the adapter of Skt. Amaramālā unintentionally, or perhaps consciously, copied the conjunction caiva into
ambiguous	san-Latn?	6945	caiva	It appears that the adapter of Skt. Amaramālā unintentionally, or perhaps consciously, copied the conjunction caiva into
ambiguous	san-Latn?	6979	maṇḍuka	The scribe of  made a copying error by inadvertently copying the word maṇḍuka (Skt. maṇḍūka), which is a synonym for a f
ambiguous	san-Latn?	6979	maṇḍūka	The scribe of  made a copying error by inadvertently copying the word maṇḍuka (Skt. maṇḍūka), which is a synonym for a f
ambiguous	san-Latn?	6982	r̥kṣācchabhallabhallūkā gaṇḍake khaḍgakhaḍginau |	AK 2.5.4ab:r̥kṣācchabhallabhallūkā gaṇḍake khaḍgakhaḍginau |
ambiguous	san-Latn?	6996	koka	Should it be read as koka?
ambiguous	san-Latn?	6999	r̥kṣācchabhallabhallūkā gaṇḍake khaḍgakhaḍginau |	AK 2.5.4ab:r̥kṣācchabhallabhallūkā gaṇḍake khaḍgakhaḍginau |
ambiguous	san-Latn?	7053	vāralā varalā haṁsī vāraṭā varaṭā ca sā ||	AbhCM 1327cd: vāralā varalā haṁsī vāraṭā varaṭā ca sā ||
ambiguous	san-Latn?	7066	hantakāra	Should it be read as hantakāra?
ambiguous	san-Latn?	7123	bilve śāṇḍilyaśailūṣau mālūraśrīphalāv api |	AK 2.4.32ab:bilve śāṇḍilyaśailūṣau mālūraśrīphalāv api |
ambiguous	san-Latn?	7264	puṁsyuttaṁsāvataṁsau dvau karṇapūre 'pi śekhare ||	AK 3.3.228cd:puṁsyuttaṁsāvataṁsau dvau karṇapūre 'pi śekhare ||
ambiguous	san-Latn?	7311	viṣvaksenā gandhaphalī kārambhā priyakaś ca sā |	AK 2.4.56ab:viṣvaksenā gandhaphalī kārambhā priyakaś ca sā |
ambiguous	san-Latn?	7331	mālatī kathyate jātir māgadhī yūthikā tathā |	AbhRM 205cd:mālatī kathyate jātir māgadhī yūthikā tathā |
ambiguous	kaw-Latn?	7345	śatgaṇa	LC misreads śatgaṇa in  as śaṅgaṇṇa.
ambiguous	kaw-Latn?	7345	śaṅgaṇṇa	LC misreads śatgaṇa in  as śaṅgaṇṇa.
ambiguous	san-Latn?	7396	dhārādhara	Should it be read as dhārādhara?
ambiguous	san-Latn?	7430	dartya	The reading dartya is unacceptable and must be corrupt for tārkṣya, as the latter word is found in all relevant kośa lis
ambiguous	san-Latn?	7430	tārkṣya	The reading dartya is unacceptable and must be corrupt for tārkṣya, as the latter word is found in all relevant kośa lis
ambiguous	san-Latn?	7430	kośa	The reading dartya is unacceptable and must be corrupt for tārkṣya, as the latter word is found in all relevant kośa lis
ambiguous	san-Latn?	7450	kalāpī	The word kalāpī and barhī are better preserved in the mss. there.
